"V1","V2"
"Ediene Lobato","Sou Ediene Lobato  e não estou conseguindo visualizar o resultado da minha perícia por me ajude!"
"Jane Vaz","Eu tentei esse tal de mei e não consegui ainda por causa de um papel do terreno a preifetura jogou por terra meus planos. Eu moro area verde um e faz muitos anos que estou aquimuitos anos. Bem dizer esse terreno já é meu."
"Rosangela Wladyr Cabral","Gostaria de saber se vó continua recebendo meu auxílio doenca"
"Letícia Peña","Paulo Azevedo   preciso saber por que meu benefício não chega dei entrada vai fazer quase dois meses"
"Lucas Vieira","é possível contribuir como empregado CTPS e MEI ao mesmo tempo? Há algum problema?"
"Crislaine Mota Lima","Oi como faço pra começar a pagar o Inss?Nunca paguei. Não trabalho fora sou autónoma trabalho em casa com vendas da Avonlangerycatálogos novos horizontes e roupas.Tbm faço artesanato. Não tenho carteira assinada só dona do lar. Trabalho assim desde +ou- 1998. Não entendo muito dessas coisas de pag ..."
"Anna Fox","Este site nao abre.Diz que nao existe. https://sipa.inss.gov.br/SipaIN…/…/consit/consitInicio.xhtml"
"Nadir Machado","Gostaria de saber.o resultado da minha perícia"
"Batista Gullo","Bom dia gostaria de saber se meu beneficio foi aprovado"
"Alessandra Franco","Olá Boa gostoria de saber o que é renda inicial"
"Raimundo Nonato","Tô tentando cadastrar senha e não consigo"
"Jane Vaz","Eu acho bobagem tanta burocracia para fazer o Mei. Não entendo como tem pessoas aqui perto que conseguiram."
"Creative Home Tips","Who else  thinks homeimprovements is cool ?"
"Ediene Lobato","Favor"
"Alexandro Narciso","Eu quero saber do meu benefício"
"Dayalla Ramos","Daiane Cristina Martins"
"Raquel Tomé","Claudia Montagnha Martins"
"Viricc Silva","Viricc Silva"
"Previdência Social","#eSocial | Liberado ambiente de testes do eSocial para empresas enviarem informações ao governo. Dúvidas ou erros? Acesse bit.ly/2tuNiwH"
"Ana Paula Freitas Costa","Dei entrada em pedido de beneficio Loas no mês 3 fiz tudo perícia assistente social perícia médica a perícia médica foi dia 3/5 vai fazer 3 meses e não tenho uma resposta!!!Minha filha é cardiopata congênita complexa estou desempregada e não tenho uma resposta sempre ligo consulto pela internet e v ..."
"Stephanie Fogarolli","olá alguem consegue entrar no e-recursos ? aqui aparece que esta fora do ar"
"Sarinha Cruz","Fiz o cadastro único pois minha filha recebe o loas quanto tempo demora pra o cadastro ser atualizado?   Se atualiza no mesmo dia que faz o cadastro?"
"Ademir Ap Dias","Eu também dei entrada benefício  aposentadoria a três meses atrás e até agora não foi analisado e os agentes do inss falam que pode demorar anos por acumulo de pedidos e falta de funcionarios. Agência Eloy Chaves Jundiai SP. Pergunto até quando a Previdência Social vai respeitar nossos direitos de c ..."
"Malu Froes","Estou tentando entrar para visualizar meu extrato e só dá indisponível.Como fica??????? já tentei outros provedores .já tenho senha e nada.O problema já dura mais de 02 semanas.Pelo que vejo várias pessoas reclamam e vocês colocam a culpa em nós.Voltem ao site anterior.Conseguíamos ver nosso extrato ..."
"Moises Amon Thompson","Previdência Social ja faz 1 semana que tento tirar a guia da previdencia no site para pagar e dá a mensagem "" Erro geral da aplicação. Contacte o administrador do sistema. "" O que eu faço?"
"Raquel Barreto Arguello","Sempre que entro no novo site  NÃO EST<c3>? DISPONIVEL NO MOMENTO TENTE MAIS TARDE."
"Silvia Mary Trindade","Boa tarde. Gostaria de saber se há divergências entre os dados que o atendente do 135 tem e os dados do meu benefício. Tentei obter senha pra usar meu inss porém no site não tá preenchendo o estado e no 135 há divergencia de nascmt"
"Eduardo Kennedy","gostaria de saber quem passou por pericia recentemente de auxilio doença vai passar por essa revisao??"
"Lamire Solfasido","Gostaria de saber se posso juntar meu tempo rural com tempo urbano para requerer minha aposentadoria pela regra 85/95? Obrigada"
"Fernando Maike","Olá bom dia gostaria de saber se mesmo o nome do beneficiário por invalidez não estiver na lista publicada pelo diário da união para revisão deve ligar no 135 marca para fazer a revisão do benefício? Ou apenas aqueles foram convocados pela lista publicada?"
"Roseli Dos Anjos Fresneda","Preciso se um extrato do meu pagamento mas na consigo acessar a página antes era tão fácil. Porque vocês complicam tanto."
"Fernanda Kataryna","Olá gostaria de saber se eu posso antecipar meu agendamento que fiz referente ao salário maternidade?"
"Creative Home Tips","such a great  post"
"Jessica Araujo","Gildene Da Silva Noronha"
"Janaina Agapito","Lais Lemos e Junio Coutrim"
"Previdência Social","#Previdência | A Secretaria de Previdência apoia a Campanha Deixe seu Preconceito de Lado. Saiba mais sobre esta iniciativa em: http://www.sdh.gov.br/lgbt"
"Lima Lima","Preconceitos estão os politico e judiciário"
"Previdência Social","#eSocial | : Sistema simplifica processos e reduz burocracia para as empresas. Acompanhe o cronograma de implementação do eSocial. Saiba mais em goo.gl/4UJrEw"
"Fernando Maike","Olá bom dia gostaria de saber se mesmo o nome do beneficiário por invalidez não estiver na lista publicada pelo diário da união para revisão deve ligar no 135 marca para fazer a revisão do benefício? Ou apenas aqueles foram convocados pela lista publicada?"
"Valternei Fortes Souza","Ola bom dia eu fis uma pericia no dia 07/06/2017 para requerimento de 25% para ajuda ao invalida que nessecita de ajuda de outra pessoa para se loooer eu gostaria de saber se e nesseario fazer outra pericia de covocaçao do governo"
"Malu Froes","Estou tentando entrar para visualizar meu extrato e só dá indisponível.Como fica??????? já tentei outros provedores .já tenho senha e nada.O problema já dura mais de 02 semanas.Pelo que vejo várias pessoas reclamam e vocês colocam a culpa em nós.Voltem ao site anterior.Conseguíamos ver nosso extrato ..."
"Paulo Ferreira","Olá Boa Tarde! Está muito difícil conseguir tirar o extrato. Como faço para tirar?"
"Alessandra Ribeiro","Gustavo Machado Ribeiro e Andressa Silva"
"Consumer saver tips","'Who else? &lt"
"Gustavo Chaves","Rafael Leão Gabriel Leão"
"Previdência Social","#eSocial  Sistema será forma mais simples barata e eficiente para empresas enviarem informações ao governo. Saiba mais: goo.gl/oerwyn"
"Alexandre Pascoli","Acabem com o beneficio das filhas do poder publico que recebem aposentadoria vitalícia  só nessa ação teremos uma economia de 3 bilhões reais o verdadeiro trabalhador não merece passar fome em nome dessas vagabu.........."
"Jane Mari Melnik","oi trabalhei como domestica a empregadora descontou i inss de mim mas não recolheu junto ao inss e agora como fica."
"Alexandre Pascoli","Adoraria ver as empresas devedoras quitarem 100% com a previdência pois o verdadeiro trabalhador não pode pagar pela incompetência de governos e quem administra os recursos da previdência. Sou totalmente contra essa reforma imposta pelo governo. Se cortar os privilégios dos funcionários publicos o  ..."
"Adherbal Borges","o ""meu inss"" não abre no IE11 windows 7 64bits."
"Giselle Martins","Elizabeth Tavares da uma olhada"
"Previdência Social","http://www.previdencia.gov.br/servicos-ao-cidadao/todos-os-servicos/consulta-de-situacao-de-beneficio/"
"Joana Darc Camargo","Quando o Sistema vai voltar a funcionar? Pq não arruma logo isso? Até quando a gente tem que esperar?"
"Carlos Roberto","Estou tentando cadastrar uma senha com o número gerado pelo site da previdência no 135.Mas por incrível que pareça todos os dias a mesma resposta:- Estamos sem sistema.Tudo para dificultar e ter acesso às informações."
"Edineide Fideles","boa noite... Gostaria de saber á situação do meu benefício pq eu ligo para o 135 e só da ocupado ou as vezes fala q não tem vagas. Posso ir na previdencia da minha cidade."
"Sil Nascimento","Boa tarde não entendi essa nova face de pericia(A segunda fase do pente-fino do INSS — para aposentados por invalidez com mais de 55 anos de idade e 15 anos de benefício) meu marido ta aposentado por invalidez a à 15 anos e 7 meses mas tem 47 anos ele vai fazer pericia ou  não ..Obrigado pela atençã ..."
"Anderson Claiton Araújo","Boa Noite. Tenho 15 anos e 10 meses interrupitos 5 aux. Doença e 11 aposentadoria por invalidez tenho 55 anos e 7 meses de idade. Estou fora do pente fino? Obg."
"Aguinaldo Vicente","Boa tarde fiz pericia judicial no dia 18/07 neste mesmo doa pedi ao médicoperito que me liberasse pois estava em acordo com a empresa para assumir outra função dentro da mesma. ..quantos dias devo aguardar e como ficar sabendo da decisão ?"
"Mikaela Mj Mazzini","Ola gostaria de saber porque minha mae de 66 anos invalida e com beneficio a 18 anos nao foi informada que seu beneficio seria cortado o medico nao deu nenhum documento dando auta medica e sao 3 meses que vamos na agencia e nunca resolvemos nada? Temos um laudo atualizado e exames dizendo que ela n ..."
"José Mauro Santos","Bom dia Previdência não consigo ligar do meu celular para a central 135 pois pede que eu coloque créditos em meu celular meu celular é de conta e sempre tem créditos o que pode ser isso <f0><U+009F><U+0098><U+00A9><f0><U+009F><U+0098><U+00A9>"
"Beth Fernandes","Não entendi...o resultado da perícia não sai mais no mesmo dia??"
"Maria Silva","Tenho uma dúvida tenho atestados médicos pois meu irmão 42anos sofre de esquizofrenia tem pericía já marcada  qual laudo devo levar  para aposentadoria por invalidez já há doze em auxilio doença e precisa de acompanhamento 24 hs obrigada."
"Elizabeth Santos","Boa tarde impossivel acessar meu extrato de pagamento só da erro  tentando cadastrar uma senha com o número gerado pelo site da previdência no 135 preciso de meu extrato  fui a agencia mandaram acessar o site e aí???Preciso do meu extrato."
"Clívia Baron T. Nogueira","Não consigo retirar o resultado liguei no 135 e falou que estava indisponível..  É um absurdo não termos o resultado na hora!"
"Myriam Medeiros","estou a tarde toda na frente do pc tentando acessar link digitar senha cadastrar senha e nada. Porque essa maldade com o aposentado e pensionista"
"Wilma Menezes","Responda com clareza porque até agora não consegui  entender. Porque alguns idosos recebem seu 1 SM antes do final do mês e eu recebo no último dia do pagamento no mês seguinte?"
"Giovana Dias","Me tira uma dúvida: Em 27/04 solicitei agendamento para auxílio doença a qual foi marcada para 20/06 que remarcaram para 17/08 pois o médico estava de licença.Como fica o recebimento desses meses pois nem empresa e nem INSS arcam com os valores.Devo entrar com advogado ou o INSS assim que real ..."
"Silvania Souza","Eu fui ver meu benefício tava  dando erro no meu número do nis toda vez que eu colocava  um ultimo  número  quando  Eu visualizar  dava erro <f0><U+009F><U+0098><U+00A0>"
"Edilton Lima","Liguei na previdencia pra marca uma pericia os atendente disse que nao ha vagas pra nem  uma cidade  do estado  rondonia.Como eu devo fazer pra marca uma pericia .??"
"Joao Carlos Sobrinho","preciso de ajuda estou tentando a mais de 3 dias tirar meu extrato do inss e sempre servicos indisponivel. alguem pode me ajudar ."
"Eliana Bellecieri","NADA está funcionando! e-recursos  consulta de benefício concedido nada!"
"Mikaela Mj Mazzini","Obviamente cada vez que ligo ou vou na Agencia continuam a farem explicaçoes diferentes e nenhuma soluçao. Tento escrever pra ouvidoria pelo site a meses e sempre quando tento enviar o site da um erro. 3 meses passados e nada resolvido. Pra um chegar a escrever no FB pode imaginar que ja tentou em  ..."
"Edineide Fideles","preciso resolver isso urgente mi ajude. bom trabalho."
"José Mauro Santos","135 da previdência não é mais gratuito e de celular tem que ter créditos AFFFFFFFFFFFFFFFFFFFF<f0><U+009F><U+0098><U+00A1><f0><U+009F><U+0098><U+00A1>"
"Juli Lucas","Fis uma perícia no dia 7/ 8 até agora não tive resposta"
"Bruna Pires","Pq não informam na hora se foi deferido ou não????"
"Rafael Mota","Está indisponível"
"Previdência Social","#Previdência | Mais de 294 milhões de aposentados e pensionistas receberão a primeira parte do 13º em agosto. Saiba mais em: goo.gl/RQgTBU"
"Marilia Schumann","29 milhões receberão $ 48000 e menos de 1 milhão de servidores aposentados receberá $ 15.000000. Esse é o Brasil da extorsão pública."
"Socorro Araújo","De onde? !!!! Aqui nem aumento tivemos desde 2.016 quanto mais a primeira parte do décimo terceiro! Kkkk"
"Eni Martin","Não seria aqui que eu deveria reclamarentretanto já tentei o 135 que disse lá não caber a reclamação e pelo Ministério tão complicado que não se chega ao final da reclamação. Mas caso é o seguinte: recebi a carta de concessão de pensão por morte no dia 8/8 (sempre muito bem tratadaorientada na a ..."
"Myriam Medeiros","Boa tarde INSS. A muito tempo não consultava extrato pelo site. E para minha surpresa agora precisa de uma senha de um link que não acessa de um contato sugerido para 135 que está ocupado....enfim....estava bom demais para ser pratico. Aí alguem acordou pela manhã e pensou....o que vou fazer para n ..."
"Márcia Sayuri Takahashi","Previdência Social bom dia. Consultando o extrato de benefício da minha mãe que recebe pensão por morte do meu pai o extrato referente ao mês de julho/2017 aparece a ocorrência: ""Divergência Cad/Cred"". Gostaria de saber o que significa isso e se é preciso fazer alguma coisa se sim o que?"
"Adriana De Oliveira Andrade","recebo auxilio reclusao e fui ontem receber e so.tinha $41000 sendo q eu recebo $117000isso e o decimo ou que??"
"Marcia Kiuchi","Meu pai era aposentado e faleceu em 21/06/15 minha mãe passou a receber a pensão dele recebeu até janeiro/17 sua pensão foi suspensa pq saiu um amparo porém o amparo nunca foi pago pq ela recebia a pensão ou seja está sem receber nada desde fevereiro/17 e desde então passou por 3 internações e ..."
"Rousseau Ivy Marie","nao dá nem para pagar a dentadura delestem que comer sopas...nem tomar...porque tomar eles ja tomam......na cabeça"
"Selmaria Amli","A quatro anos atrás estavam sendo pago no quinto dia útil do mês de agosto. A maioria vai receber no quinto dia útil de setembro."
"Kaique Albuquerque","Pessoal no dia da Pericia para auxílio doença-acidente eu posso levar minha reservista no lugar do RG? Eu perdi e estou impossibilitado de ir tirar outro."
"Fernando Martins","Quando estará disponível o extrato para consulta desse que vai vir com 13° salário?"
"Socorro Martins","Tenho câncer e queria saber como faço pra receber o auxilio doença pois não posso trabalhar."
"Myriam Medeiros","Boa tarde INSS. Hoje uma noticia sobre aposentados por invalidez que tem uma lista de pessoas não encontradas por correspondências. Podemos imaginar o desespero desses conhecendo o serviço prestado pelos correios de nosso país (orgão público). A pergunta é. Onde acessar esta lista. No Link menciona ..."
"Sil Nascimento","Boa noite  não entendi essa nova face de pericia(A segunda fase do pente-fino do INSS — para aposentados por invalidez com mais de 55 anos de idade e 15 anos de benefício) meu marido ta aposentado por invalidez  à 15 anos e 7 meses mas tem 47 anos ele vai fazer pericia ou não ..Obrigado pela atenção"
"Priscila Empréstimos","Por gentileza resolver o problema do site de extrato INSS preciso extrato urgente"
"Wilma Menezes","Mas que só recebo em setembro. Isso tinha que acabar. Todos deveriam receber no último dia do mês vencido"
"Carlos Alberto Amaral Xavier","Boa noite. Houve erro do INSS no valor do meu benefício e recebo a menor desde 2015. Casoo Solicitei a revisão agora em agosto."
"Elita Alves","Mudaram pra pior ñ encontro mais o extrato de pagamento de aposentado via internet a moça do 135 orienta como se tudo estivesse funcionando ela diz q agora temos q criar senha esse local ñ existe.  Exoistem muitos sites q ñ funcionam inclusive o q ela menciona.  Quem pode me orientar eu precis ..."
"Dina Artigas","Não consigo fazer o cadastro de meu marido para conseguir o extrato de benefícios sempre dá erro de processamento e pede para consultar o suporte técnico. Como fazer?"
"Alessandra Franco","Eu posso pegar minha carta de concessão direto numa agência do INSS"
"Maria Geralda Moniz Alves","o ano passado tambem foi pago em Agosto"
"Helena Bertotti","Bom dia os aposentados vão receber agosto ou Setembro???"
"Fatinha Correa","a página não tem a opção de mandar mensagens? quero tirar uma dúvida as pelo site eu não consigo"
"Margarida Mendes","Eu  quero  Aposenta  esto  com  secenta nove Ano  Margarida  Mendes  Deus"
"Daiane Lima","Como saber a data exata da primeira parcela do décimo ?"
"Previdência Social","A Medida Provisória nº 788 tem o objetivo de recuperar cerca de R$ 600 milhões de créditos já realizados em âmbito federal. As novas regras vão resolver a defasagem na comunicação entre órgãos públicos e instituições financeiras que tem gerado o acúmulo de recursos públicos em contas particulares d ..."
"Carlos Alexandre Bueno","Bom dia. Primeiramente quero parabenizar o tele-atendimento do INSS. As atendentes fazem de tudo para nos ajudar e são claras e objetivas nas informações. Continuando agora quero declarar meu horror ao serviço oferecido pelo site. Todo mês acesso para obter meu comprovante de rendimentos de aposent ..."
"Joselito Correia Deoliveira","bom-dia gostaria de saber porque inss faz tudo para atrapalha nossas vida não podemos mais tira um extrato quando entro no sati pede uma senha fui no posto mais a tal senha não focionar."
"Denisie Beatriz Maceda","Bom dia...meu marido era aposentado e faleceu e tomos um filho de 13 anos...queria saber oque devo fazer pra pegar o benefício e que documentos tenho que leva..?"
"Lima Vagas","Já faz mais de 2 meses que minha mãe deu entrada no BPC/ LOAS e até agora nenhuma resposta ela liga toda semana para o telefone 135 para consultar a situação do beneficio mas só dizem que está habilitado falam que o prazo é de 45 dias mas até agora nada"
"Maria Alvina Radaelli","Boa noite  gostaria de saber se existe auxílio funeral para pessoa idosa sem outra renda além da aposentadoria e sem deixar descendentes ???"
"Sil Nascimento","Boa tarde não entendi essa nova face de pericia(A segunda fase do pente-fino do INSS — para aposentados por invalidez com mais de 55 anos de idade e 15 anos de benefício) meu marido ta aposentado por invalidez a à 15 anos e 7 meses mas tem 47 anos ele vai fazer pericia ou  não ..Obrigado pela atençã ..."
"Alessandra Franco","A minha carta de concessão não chegou até mim eu posso ir até uma agência onde fiz a perícia Pegar a carta de concessão para poder receber o meu pagamento"
"Dejanira Pavao","Rogerio bublitz recebe auxilio doença e trabalha em outro emprego ainda consegue fazer trilhá de moto tendo atestado por acidente de trabalho tendo quebrado o braço acho que Isso é crime ou não"
"Marcia Helena Narciso Ribeiro","quanto tempo leva para chegar a carta de consseção"
"Heloísa Sereni","Oi eu queria tirar uma dúvida sobre o funcionamento do site da previdência social. Já é o segundo dia que eu tento imprimir o histórico de crédito de benefício pra minha mãe e fica carregando durante horas e nunca passa dessa parte. O que fazer?"
"Angelo Roberto Palombo Baraldi","Pagando Altos Salarios para: M.P.F. (Piso Salarial R$ 19.80000) P.F. (Piso Salarial R$ 9.60000) Servidores Publicos que recebem acima do Piso do INSS (O do Café no Congresso recebe R$ 17.00000) POLITICOS ( Abuse-Usem dos Aviões da FAB). """"É ! PARECE QUE NÓS OS CONTRIBUINTES PAGAMOS MUITO PAR ..."
"Cicero Araujo","era bom pega um facão e todos corta cana. pra ver como é bom trabalhar no pesado e n ter direito a ndaaaaa"
"Alessandro Ap F Andrade III","Eis a pergunta PORQUE VOCÊS MESMO NÃO FISCALIZARAM ANTES? PORQUE FORAM AVISADOS POR ACASO ISSO NÃO ESTAVA SENDO AVISADOS BEM ANTES DIANTE TANTOS CASOS? #ADVERTENCIA #MP767 #PenteFinoINSS todos os benefícios cortados em Auxílio Doença ESP.31 e Aposentadoria por Invalidez ESP.32 estão sendo encaminh ..."
"Lima Lima","Estou esperando recebe da Pregatoria e este governantes nada de pagarem e ordem da justiça federal"
"Marisa Essvein","E triste isso mas e real"
"Leda Luna","Boa tarde eu Tenho55anos ja posso apoderar"
"Leda Luna","Eu tenho 55anos ja posso aposentar"
"Fernando Bezerra Mendonça","'isso aqui tira qualquer um do sério: https://mobile.facebook.com/photo.php?fbid=1795918673781526&amp"
"Previdência Social","#Previdência | A Previdência que promove o desenvolvimento de políticas públicas que aprimorem a segurança saúde e qualidade de vida no trabalho apoia a campanha de prevenção de acidentes de trabalho. Saiba mais em: goo.gl/EhQE6N"
"Cândida Rodrigues Galvão","Médico me deu 2 meses de atestado.. não passei na perícia médica..que  vai me pagar esses 2 meses?"
"Wellsom Basilio","A previdência é aquela que pega o nosso dinheiro a vida todae devolve migalhas"
"Fernanda Kataryna","Oi eu posso antecipar o agendamento que fiz referente ao salário maternidade?"
"Agenor Aguar Filho","Eu quero meu extrato de pagamento do inss"
"SESI - Serviço Social da Indústria","O número de acidentes do trabalho teve redução de mais de 15% de 2013 a 2015 segundo o último Anuário Estatístico. Programas de segurança e saúde do trabalhador são fundamentais para diminuir ainda mais esses números e proteger a integridade do funcionário. Conheça as ações do SESI - Serviço Social ..."
"Hilário Bocchi Junior","Veja a história da Elizabete.Como é importante contribuir para o INSS.Pessoas idosas podem ficar sem proteção social.Todos nós temos o dever de auxiliar.https://www.facebook.com/hilario.bocchijunior/posts/1871895882836940"
"Previdência Social","Previdência Social added a new photo."
"Marcio Silva","Oi tenho 33 anos 9 anos de ficha mais hoje estou desempregado o que vcs diz que devo fazer"
"Margarida Gatti","Olá falta falta 4 meses pra eu completar 85 pontos para aposentar nessa regra  se mudar as regras eu entro na transição ??? obrigada"
"Diana Santos","Boa tarde gostaria de saber porque o próprio  inss não cobra as dívida das empresas para que agente ser e humano não passe por desepisao quando vamos pedir o nosso direito"
"Francisco Carlos","Por que o aposentado por tempo de contribuição ao continuar trabalhando tem que recolher inss sendo que ele não tem direito ao beneficio auxilio doença caso precise falam que ja recebe aposentadoria mas auxilio doença não é aposentadoria?"
"Isabela Silva","Quanto tempo um peito do INSS federal demora para liberar o pedido de aposentadoria por invalidez ? Já faz um ano de espera estou sobrevivendo com ajuda da família ?"
"Thiago Rocha","Como faço para abrir mão do meu direito de previdência social e não contar mais com seus serviços e nem ser descontado por ela?"
"Antonio Lima","Ola gostaria de saber se os filhos tem direito de pensao se caso o pai ou mae falecer."
"Nilsa Tausen","Nessa reforma quem é aposentado e continua trabalhando muda alguma coisa?"
"Silvania Pereira de Paiva","Estou fora do pais. Preciso mandar minha prova de vida. Mas nao tenho endereco do INSS. Vc pode me ajudar?"
"Lucas Miranda","Porque a contribuição para a previdência social é obrigatória? Eu não sou livre para escolher investir em uma empresa privada e decidir o melhor para o meu futuro?"
"Anselmo Santos","pessoas  com  auxilio  doença   e  aposentadas   por  invalidez   contam   tempo  de   contribuiçao   em  caso  de  alta    pelo   perito  rezumindo    este  tempo  q  ficou  afastada   conta   para   uma   futura  aposentadoria"
"Simone Galdino","Olá tive um AVC Emorragico á mais de quatro anos e fiquei com seqüela na fala compreensão  tenho ataques conclusivos onde são todos os médicos que me acompanham já me disponibilizaram relatórios ao INSS informando que as sequelas são irreversíveis. Estou afastada pelo INSS pelo Auxílio Doença ne ..."
"Solange Chicarelli","Boa tarde minha mae completa 60anos em Maio e já tem 17 anos de contribuição ela aposenta por idade se for aprovado a reforma ela perdi o direito isso vai afetar todos que estão próximos a se aposentar"
"Socrates Koquinha","Oi. Sou Sócrates Minha esposa trabalhou ate ano passado faz em media 10 meses que esta sem trabalhar. Vamos a pergunta! Ela sofreu um acidente o qual ela torceu o tornozelo foi ao ortopedista foi constatado que rompeu os ligamentos e que ela vai ficar em média dois meses pra melhorar e ainda ..."
"Luiz Rafael Teixeira","Mesmo completando 35 anos terei de receber o ganho hoje reduzido em 80% mesmo pagando 11% do meu salario hoje.  Me sinto enganado... comprei um seguro obrigado que vai me decepcionar. Isso eh passivel de provocar o judiciario federal jah paguei ateh mais do que devia 36 anos e 4 meses"
"Jeanny Fernandes","Aos  40 anos sendo autônomo  tenho que contribuir com a previdência social para me aposentar? Como isso deverá ser feito ?"
"Luiz Rafael Teixeira","Pq. O sistema da Previdencia nunca concede automaticamente a aposentadoria para quem completou 35 anos contribuindo? Parece que conceder beneficio eh restritivo. Isso que percebemos pagamos e temos que provar o que foi pago. E quando a empresa desconta do trabalhador e nem repassa a previdencia o se ..."
"Marister Ribeiro Ribeiro","Olá!Trabalhei 2 anos sem carteira assinada e a empresa já não existe mais. Mas a proprietária existe tem como recuperar esse tempo?Logo depois em 1985 fui registrada é apenas fiquei sem registro quase 1 ano e fiquei sem recolher. Hj estou com 50 anos continuo trabalhando registrada até hj consi ..."
"Rocio Arriagada Soto","Boa tardecompletei este mês a soma de 30 de contribuição e 56 anostotal de 86estou protocolando com data de amanha no INSSsera que ja fico sabendo se vai ser concedido na hora ou vai para analisetem alguma possibilidade de eles não conceder minha aposentadoriaagradeço retornoobrigada."
"Luiz Carlos Ribeiro","Porque o perito demora tanto para liberar o pedido de aposentadoria por tempo de contribuição uma vez que a documentação está completa. Estou esperando há mais de 120 dias. Agendamento feito há 9 meses?"
"Iara Lima","Olá bem gostaria de tirar uma dúvida ...já possuo 33 anos de contribuição sendo 10 de carteira assinada e vinte e três anos de autonomia ...mas desde abril de 2007 optei em pagar 11% do salário mínimo...e fui informada de que só posso me aposentar pôr idade??? Isso procede???se eu soubesse teria con ..."
"Valquiria Miguel","Boa tarde! Meu pai faleceu poucos dias para se aposentar ele tinha uma união estável com a minha mãe a 40 anos mas todos os papéis que tinha dela eu acabei jogando fora ela deu entrada na aposentadoria mas foi negado. Como ela pode fazer para conseguir o beneficio?"
"Marcia Daminelli","Bom dia. Para atingir os 85 pontos faltam-me 4 anos de contribuicao. Posso aumentar o valor mensal de contribuicao por esses 4 anos mais? Isso vai melhorar o beneficio a receber? Obrigada"
"Andreia Santos","Ola fui admitida trabalhei 3 meses depois me afastei por auxilio doença comum fiquei nove meses afastada retornei trabalhei 5 dias e fui demitida estou cumprindo o aviso minha duvida é não vou receber nenhum direito como decimo férias seguro desemprego?"
"Edivandro Franciane Silva","Também queria saber Pq o inss não manda mais a carta para a empresa no caso prefeitura avisando que o servidor está aposento?"
"Previdência Social","#Previdência | O simulador permite ao segurado saber quanto tempo falta para se aposentar e descobrir o valor do seu benefício caso já tenha direito. Para realizar a sua simulação de valores tenha em mãos todas as suas carteiras de trabalho carnês e demais comprovantes de pagamento ao INSS.link:  ..."
"Flavio Santos","Tenho 39 de idade  e 13 de contribuição. Quando eu completar 15 de comtribuicao o q eu faço?Devo pagar de 6 em   6 meses p não perder a carência ou. ....Sou contribuinte autônomo pago no carne referente a 1 salário."
"Cristina Tereza Torres de Oliveira","To com 62 anos fui tirar o nis nao consta todas firmas que trabalhei e nem os carnes pagos ...fui ao inss denovo com as carteiras e a senhora que me atendeu nao atualizou o meu nis e brabo ....o mal atendimento ..como vou fazer ...sem contar doenla degenerativa que tenho etc"
"Paulo César","Gostaria de saber por que nos contribuímos  com a previdência durante anos com risco de ainda não conseguir se aposentar e políticos com apenas 8 anos de mandatos se aposentam com altos salários ?"
"Carlos Alberto","A previdência deveria ter um canal direto via internet para acabar a burocracia ser mais ágil e resolver os benefícios que se encontra em andamento seja na agencia seja no setor recurso"
"Edmilson Oliveira","Gostaria que me dessem a fórmula para reajustar minha aposentadoria. Porque além de me aposentar pelo fator previdenciário que arrombou o meu salário. O mesmo perder poder aquisitivo todos os anos."
"Elaine Braga","INSS age de forma ilegal a começar pelo atendimento! Hoje eu fui a uma agência do INSS para ver meu extrato pois na Internet não consegui acesso (há uma alegação de divergência de informações como se eu não soubesse meus próprios dados). Contudo o guarda me impediu de entrar na agência com minha p ..."
"Gabriel Cordeiro","Qual o prazo para o INSS responder sobre o pedido de aposentadoria por tempo de contribuição? Tendo em vista que meu pai deu entrada em Maio entretanto até o momento não apareceu nada no site além de que foi na época que houve ataque dos Hackers no sistema da previdência mesmo assim receberam  ..."
"Iran Silva","Eu sou beneficiário de auxílio doença.. e ñ tem condições mais de trabalhar 4 anos vem recebendo benefício.. quero saber quantas anos ficar assim pra aposentar?"
"Wera Lucia Franco","E qdo a gente perde a carteira de trabalho?  E  não encontra dados em lugar nenhum. Como a gente faz?"
"Vany Paz","Tenho 56 anos e 4 mês de idade e 16 anos de INSS paga quanto tempo falta p mim aposentar?"
"Carlão Santos","De tudo o que eu apresentei  pergunto  : Já  tenho o direito de adquirir a aposentadoria ?"
"Antonio Márcio","Maior furada este App vc não  consegue digitar o nit pois os numeros pulam."
"Elisabete Moura","Quantos<U+200B> anos tenho que ter de contribuição para aposentar integral hoje ? Por favor me responda"
"Rosiane Kormann","Oi Boa tarde quando a gente fica no auxílio doença por um tempo esse tempo que ficamos fora do trabalho por motivo de doença conta pra se aposentar."
"Dario Bernardino","Vou fazer 65 anos ano que vem sexo masculino gostaria de saber se posso me aposentar por idade... fiz algumas contribuições ao longo dos anos mas ñ o tempo todo... foi salteado mas muitos anos de contribuição"
"Santa Izabel FT","Tenho 10 anos e 10 meses d carteira assinada e 4 anos autonoma d contribuição quanto falta p m aposentar.tenhp 52 anos."
"Murilo Pimenta","O site da previdência não está funcionando para poder consultar o benefício. Como faço? Não tenho tempo para ficar esperando o atendimento no ramal da previdência. Me ajudem."
"Erica Cristina","Por favor capacitem os empregados!A Agencia de Praia Grande/SP serviço péssimo não fazem questão nenhuma de ajudar e resolver os problemas do segurado.Minha avó de quase 90 anos teve o beneficio bloqueado e um jogo de empurra e ninguem resolveu"
